,city,temperature,humidity,cloudiness,wind_speed,latitude,longitude
0,busselton,14.86,53,20,8.48,-33.65,115.33
1,butaritari,28.6,80,97,9.82,3.07,172.79
2,tual,28.08,75,76,4.66,-5.67,132.75
3,ribeira grande,17.0,93,75,9.8,38.52,-28.7
4,punta arenas,15.95,71,0,4.6,-53.15,-70.92
5,ponta do sol,19.12,68,20,4.1,32.67,-17.1
6,sao mateus,30.98,58,53,0.54,-18.72,-39.86
7,tura,17.27,55,17,1.47,25.52,90.22
8,fort smith,1.81,93,1,2.1,35.39,-94.4
9,aklavik,-31.57,67,40,1.7,68.22,-135.01
10,bredasdorp,24.39,69,28,6.7,-34.53,20.04
11,arlit,29.42,6,0,4.64,18.74,7.39
12,vaini,24.0,100,20,1.0,-21.2,-175.2
13,barrow,-36.0,98,1,2.1,71.29,-156.79
14,derzhavinsk,0.85,99,100,3.43,51.1,66.32
15,guarapari,28.04,74,75,2.6,-20.67,-40.5
16,new norfolk,13.88,62,90,2.6,-42.78,147.06
17,rikitea,25.65,79,80,7.26,-23.12,-134.97
18,mar del plata,18.59,72,90,7.7,-38.0,-57.56
19,krasnokamensk,-17.84,93,100,1.91,50.1,118.04
20,mirabad,18.6,23,0,3.85,30.44,61.84
21,ushuaia,15.55,63,0,0.93,-54.8,-68.3
22,bluff,10.56,88,100,6.26,-46.6,168.33
23,carnarvon,25.0,94,40,10.3,-24.87,113.63
24,saint anthony,-17.22,70,1,2.1,45.02,-93.22
25,east london,24.0,73,20,2.6,-33.02,27.91
26,chuy,27.65,70,96,3.28,-33.7,-53.46
27,isangel,27.0,88,75,4.1,-19.55,169.27
28,thompson,-17.0,84,90,3.6,55.74,-97.86
29,arraial do cabo,28.35,69,20,9.3,-22.97,-42.03
30,bethel,-0.08,50,1,5.7,41.37,-73.41
31,mezen,-11.74,94,100,3.91,65.85,44.24
32,muros,12.74,71,75,2.6,42.78,-9.06
33,hobart,13.94,62,90,2.6,-42.88,147.33
34,taltal,20.26,67,0,3.75,-25.4,-70.48
35,tuktoyaktuk,-36.0,66,90,2.6,69.45,-133.04
36,luis correia,31.0,70,40,5.7,-2.88,-41.67
37,lagoa,17.12,87,100,10.83,39.05,-27.98
38,clyde river,-33.0,74,1,3.6,70.47,-68.59
39,mahebourg,25.82,83,40,3.6,-20.41,57.7
40,shingu,7.4,69,0,8.22,33.73,135.98
41,mataura,10.56,88,100,6.26,-46.19,168.86
42,qaanaaq,-32.12,63,0,2.2,77.48,-69.36
43,hakkari,-5.69,95,100,4.8,37.58,44.17
44,ashland,-1.45,86,90,4.1,40.82,-82.27
45,lorengau,28.23,77,100,5.7,-2.02,147.27
46,inuvik,-31.45,67,90,2.6,68.35,-133.72
47,samarai,24.44,91,100,2.81,-10.62,150.67
48,kasongo-lunda,24.57,86,100,0.99,-6.47,16.82
49,bud,-0.33,100,90,2.1,39.45,-86.18
50,longyearbyen,-6.0,85,75,1.5,78.22,15.64
51,wangkui,-19.02,93,78,4.24,46.83,126.5
52,airai,20.3,90,98,1.6,-8.93,125.41
53,pemba,30.0,70,75,5.1,-12.97,40.52
54,egvekinot,-28.14,94,100,7.04,66.32,-179.17
55,northam,10.03,62,40,9.3,51.03,-4.22
56,port alfred,22.22,87,67,1.34,-33.59,26.89
57,mabaruma,29.71,52,8,2.44,8.2,-59.78
58,port moresby,27.38,80,74,5.92,-9.44,147.18
59,tiksi,-28.49,64,0,1.84,71.69,128.87
